article,category,href,image,introduce,keywords,source,time,title
none,政务,http://new.qq.com/omn/20180725/20180725A165WO.html,http://inews.gtimg.com/newsapp_ls/0/4533220090_197130/0,白糖是人们日常饮食中的重要调味品，也是饮料、糖果、糕点等含糖食品和制药工业中不可或缺的原料。海关日前连续破获两起走私白糖大案，发布君带你一起来看~江苏     7月16日南京海关所属南通海关破获一起绕关走私白糖大案，现场查获走私入境的白糖800余吨，查扣涉嫌走私船舶2艘和正在码头装运走私糖的重型半挂牵引卡车6辆，...,走私;白糖;海关,海关发布,2018/7/25 16:38,1030余吨！海关查获两起走私白糖大案
none,政务,http://new.qq.com/omn/20180724/20180724A1N1FQ.html,http://inews.gtimg.com/newsapp_ls/0/4520997818_870492/0,据报道，7月21日，中国第三任证监会主席周正庆病逝，享年83岁。周正庆曾于1997年7月到2000年2月任职中国证监会主席。周正庆是安徽天长人，1951年参加工作，他早年在中国人民银行北京分行工作，曾任出纳员、办公室干部、金融研究室副主任，1983年9月被提拔为北京市分行副行长，1984年5月升任北京分行行长。1986年10月，周正...,朱镕基;周正庆;中国人民银行;国务院;党组成员;李鹏,政事儿,2018/7/24 19:35,朱镕基曾“点赞”的他，走了
none,政务,http://new.qq.com/omn/20180729/20180729A08D82.html,http://inews.gtimg.com/newsapp_ls/0/4584948334_870492/0,图片来源：中央气象台。 中新网7月29日电 据中央气象台网站消息，中央气象台今日6时继续发布高温黄色预警，预计今天白天，四川盆地东部、重庆、江汉南部、江淮南部、江南、华南东北部及新疆吐鲁番盆地、内蒙古西部、宁夏北部、陕西关中地区、辽宁中北部、吉林东南部等地最高气温35～36℃，其中，重庆中西部、湖北东部、湖南...,中央气象台;黄色预警;最高气温,中国新闻网,2018/7/29 7:52,高温黄色预警：湖北等7省市区最高气温超37℃
none,政务,http://new.qq.com/omn/20180722/20180722A164R8.html,http://inews.gtimg.com/newsapp_ls/0/4491154605_197130/0,非洲的西南部有这样一个地方，战乱频仍，民生凋敝，基础设施大量损毁。它叫安哥拉。▲战时损毁、弃置荒野的坦克成为儿童的玩物。后来，和平曙光初现，安哥拉启动战后重建。中国铁建以EPC方式承建安哥拉本格拉铁路，中国万千建设者奋勇前往。▲中国建设者在安哥拉的故事。今天，小新带大家一起走进安哥拉，用一个个真实的镜...,中铁二十局;国家荣誉;一带一路;本格拉铁路;安哥拉,国资小新,2018/7/22 19:30,除了中国速度  请致敬这份战火废墟上的“中国胆识”！
none,政务,http://new.qq.com/omn/20180728/20180728A1NYWH.html,http://inews.gtimg.com/newsapp_ls/0/4581902163_197130/0,图片来源：图虫创意一如果吃饭要排队，你会扭头就走吗？扭头便走，一分钟都不耽搁。要排队的饭倒贴都不吃。再好吃的东西都不值得我去等。年轻人嘴上说不等，身体倒是实诚的。口碑网调查显示，消费者近一年外出就餐，平均每次的排队时间接近19分钟，从到达餐厅到吃完离开平均用时70分钟，平均排队时长占据整体用餐时间的近3...,中国新闻周刊;图虫创意;做饭;老唐,中国新闻周刊,2018/7/28 23:17,中国大中城市排队吃饭排行榜：年轻单身绝不自己下厨做顿饭
none,政务,http://new.qq.com/omn/20180725/20180725A1O65S.html,http://inews.gtimg.com/newsapp_ls/0/4536923713_870492/0,长安街知事（微信ID：Capitalnews）获悉，陕西省委常委、政法委书记杜航伟已上调进京、“返回”公安部，任部党委委员。公安部称得上是杜航伟的“娘家”，他曾在此工作20余年。杜航伟生于1962年4月，河南灵宝人，1984年从西南政法学院刑侦专业毕业后，进入公安部。在公安部，他被先下派北京市公安局实习锻炼1年，后进入刑事...,政法委;杜航伟;省委常委;上调;刑事侦查局;张子强,长安街知事,2018/7/25 20:39,陕西政法委书记杜航伟“返回”公安部任职
none,政务,http://new.qq.com/omn/20180724/20180724A0W057.html,http://inews.gtimg.com/newsapp_ls/0/4515958183_197130/0,7月24日，浙江省东阳市歌山镇尚侃村菊花基地里，花农们在分拣刚采收的菊花。7月24日，浙江省东阳市歌山镇尚侃村菊花基地里，花农们在分拣刚采收的菊花。7月24日，浙江省东阳市歌山镇尚侃村菊花基地里，花农们在分拣刚采收的菊花。7月24日，浙江省东阳市歌山镇尚侃村菊花基地里，花农们在分拣刚采收的菊花。7月24日，浙江省...,浙江;歌山镇;东阳,人民图片,2018/7/24 14:04,浙江东阳：菊花夏收出国忙
none,政务,http://new.qq.com/cmsn/20180724/20180724031791.html,http://inews.gtimg.com/newsapp_ls/0/4516952185_870492/0,她成为疫苗“女王”用了15年 跌落只用7天,长生生物;长春高新;女王;高俊芳;股权,新京报,2018/7/24 15:24,她成为疫苗“女王”用了15年 跌落只用7天
none,政务,http://new.qq.com/omn/20180729/20180729A0EEOZ.html,http://inews.gtimg.com/newsapp_ls/0/4586182392_870492/0,“是我丧失了党性、迷失了方向，我全部交代……”在确凿证据面前，福建省宁化县公安局原党委委员、副局长张志龙终于低下了头。近日，宁化县纪委监委决定给予张志龙开除党籍、开除公职处分，收缴其违纪所得，将其涉嫌犯罪问题及所涉款物移送有关国家机关依法处理。通报一发布就在当地引起了热议：“太解气了，这样的‘生意局...,张志龙;公安局;宁化县;稀土,中国纪检监察报,2018/7/29 10:17,权力当筹码满脑生意经 福建公安局一副局长成“生意局长”
none,政务,http://new.qq.com/cmsn/20180724/20180724009149.html,http://inews.gtimg.com/newsapp_ls/0/4512091359_870492/0,据新华社报道，越南国家主席陈大光23日签署决定，暂停张明俊信息传媒部部长职务。　这项决定显示，张明俊违规，越共中央政治局7月16日发布给予他违纪处分的决定。　张明俊现年57岁，是越共中央委员。　越共中央检查委员会调查发现，信息传媒部党组2011年至2016年指导越南电信运营商MobiFone公司收购一家企业股份过程中违法违规；张明俊时任信息传媒部党组委员、副部长，必须承担责任。　调查结论显示，信息传媒部党组和张明俊个人违反原则和工作制度及程序，失职失责，违反收购项目评审、审批和实施规定，造成国有资产巨额损,张明俊;陈大光;越南,新华社,2018/7/24 8:42,越南信息传媒部长张明俊违规遭处分，职务被暂停
